2023-05-10 14:23:16,776 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-bill-sql-sapi'
2023-05-10 14:23:17,158 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-bill-sql-sapi'
2023-05-10 14:23:17,371 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-payment-cris-sapi'
2023-05-10 14:23:17,905 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-payment-cris-sapi'
2023-05-10 14:23:18,323 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-payment-css-sapi'
2023-05-10 14:23:18,689 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-payment-css-sapi'
2023-05-10 14:23:18,890 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-payment-mgmt-papi'
2023-05-10 14:23:19,146 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-payment-mgmt-papi'
2023-05-10 14:23:19,359 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-utilities-css-sapi'
2023-05-10 14:23:19,561 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-utilities-mgmt-papi'
2023-05-10 14:23:19,765 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-utilities-mgmt-papi'
2023-05-10 14:23:19,979 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:customer-account-papi'
2023-05-10 14:23:20,196 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:work-proces-api'
2023-05-10 14:23:20,390 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:customers-ediftinbound-app'
