# Project Key:1,Project Name:2,Branch:3,Last Analysis:4,bugs:5,vulnerabilities:6,code_smells:7,security_hotspots:8,reliability_rating:9,security_rating:10,sqale_rating:11,security_review_rating:12,sqale_debt_ratio:13,sqale_index:14,coverage:15,duplicated_lines_density:16,security_hotspots_reviewed:17,new_bugs:18,new_vulnerabilities:19,new_code_smells:20,new_security_hotspots:21,new_reliability_rating:22,new_security_rating:23,new_maintainability_rating:24,new_security_review_rating:25,new_sqale_debt_ratio:26,new_coverage:27,new_duplicated_lines_density:28,new_security_hotspots_reviewed:29,ncloc:30,URL:31
gridci,gridci,gridDataOps-main,5/16/2023,7,0,4,0,3,1,1,1,0.10%,80,,10.50%,,3,0,4,0,3,1,1,1,0.20%,,21.80%,,4404,https://sonarqube-us.nationalgrid.com/dashboard?id=gridci&branch=gridDataOps-main
gridci,gridci,main,5/25/2023,0,0,0,0,1,1,1,1,0.00%,0,,9.00%,,0,0,0,0,1,1,1,1,0.00%,,9.20%,,4431,https://sonarqube-us.nationalgrid.com/dashboard?id=gridci&branch=main
gridci,gridci,PR-229,5/26/2023,0,0,0,0,1,1,1,1,0.00%,0,,9.00%,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,4437,https://sonarqube-us.nationalgrid.com/dashboard?id=gridci&branch=PR-229
56c14f77-79ed-4de3-8313-d542ea9f232b:gridforce-upsert-sapi,gridforce-upsert-sapi,develop,4/28/2023,153,25,376,3,3,4,1,5,1.80%,4128,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,7505,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gridforce-upsert-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gridforce-upsert-sapi,gridforce-upsert-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gridforce-upsert-sapi&branch=master
com.nationalgrid.automation.GridInit:GridInit,GridInit,GridInit_Smoke_Test,5/24/2023,34,0,527,57,5,1,2,5,5.80%,5330,0.00%,1.40%,0,,,,,,,,,,,,,3064,https://sonarqube-us.nationalgrid.com/dashboard?id=com.nationalgrid.automation.GridInit:GridInit&branch=GridInit_Smoke_Test
com.nationalgrid.automation.GridInit:GridInit,GridInit,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=com.nationalgrid.automation.GridInit:GridInit&branch=master
gridinit-api,gridinit-api,develop,9/22/2022,0,0,0,0,1,1,1,1,0.00%,0,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,,,151,https://sonarqube-us.nationalgrid.com/dashboard?id=gridinit-api&branch=develop
gridinit-api,gridinit-api,main,3/27/2023,0,0,0,0,1,1,1,1,0.00%,0,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,,,151,https://sonarqube-us.nationalgrid.com/dashboard?id=gridinit-api&branch=main
gridinit-api,gridinit-api,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=gridinit-api&branch=master
gridmd-service,gridmd-service,main,5/24/2023,0,0,0,0,1,1,1,1,0.00%,0,,,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,,https://sonarqube-us.nationalgrid.com/dashboard?id=gridmd-service&branch=main
gridmd-web,gridmd-web,main,5/25/2023,0,0,0,0,1,1,1,1,0.00%,0,85.20%,0.00%,,0,0,0,0,1,1,1,1,0.00%,85.20%,0.00%,,766,https://sonarqube-us.nationalgrid.com/dashboard?id=gridmd-web&branch=main
